image,latitude,longitude
FRAMES/LEFT\prise11L\2022_02_26_145555.jpg,48.57313055555556,7.525383333333333
FRAMES/LEFT\prise11L\2022_02_26_145605.jpg,48.57313055555556,7.525383333333333
FRAMES/LEFT\prise11L\2022_02_26_145615.jpg,48.57313333820236,7.525383333333333
FRAMES/LEFT\prise11L\2022_02_26_145625.jpg,48.573133246809434,7.525383333333333
FRAMES/LEFT\prise11L\2022_02_26_145635.jpg,48.57313326719577,7.525380621693122
FRAMES/LEFT\prise11L\2022_02_26_145645.jpg,48.573136003781165,7.525386057438004
FRAMES/LEFT\prise11L\2022_02_26_145655.jpg,48.57314148546664,7.5253887982599235
FRAMES/LEFT\prise11L\2022_02_26_145705.jpg,48.57314150943397,7.525391548713322
FRAMES/LEFT\prise11L\2022_02_26_145715.jpg,48.573147013435005,7.525397048200683
FRAMES/LEFT\prise11L\2022_02_26_145725.jpg,48.573155274059914,7.525399812254651
FRAMES/LEFT\prise11L\2022_02_26_145735.jpg,48.57315529945635,7.525399829254411
FRAMES/LEFT\prise11L\2022_02_26_145745.jpg,48.57315256865386,7.525397091520942
FRAMES/LEFT\prise11L\2022_02_26_145755.jpg,48.57315809124633,7.525402608279492
FRAMES/LEFT\prise11L\2022_02_26_145805.jpg,48.573158107614425,7.525410885410885
FRAMES/LEFT\prise11L\2022_02_26_145815.jpg,48.573160878269576,7.5254136560693645
FRAMES/LEFT\prise11L\2022_02_26_145825.jpg,48.57315813385581,7.525413669460393
FRAMES/LEFT\prise11L\2022_02_26_145835.jpg,48.57318021567814,7.5253198787022315
FRAMES/LEFT\prise11L\2022_02_26_145845.jpg,48.5732188703466,7.525110109289617
FRAMES/LEFT\prise11L\2022_02_26_145855.jpg,48.57325754668714,7.524856044070263
FRAMES/LEFT\prise11L\2022_02_26_145905.jpg,48.573282434036344,7.524632225119513
FRAMES/LEFT\prise11L\2022_02_26_145915.jpg,48.573312854346995,7.524466315238523
FRAMES/LEFT\prise11L\2022_02_26_145925.jpg,48.573343284606416,7.524275484889491
FRAMES/LEFT\prise11L\2022_02_26_145935.jpg,48.57337648664908,7.524051436901291
FRAMES/LEFT\prise11L\2022_02_26_145945.jpg,48.573401405874364,7.523846672342841
FRAMES/LEFT\prise11L\2022_02_26_145955.jpg,48.573431858212246,7.523616981132076
FRAMES/LEFT\prise11L\2022_02_26_150005.jpg,48.57346784565917,7.5233927686052855
FRAMES/LEFT\prise11L\2022_02_26_150015.jpg,48.57349001452433,7.523226579438626
FRAMES/LEFT\prise11L\2022_02_26_150025.jpg,48.57349006216619,7.523226293469041
