               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11817,            0.054493,            0.076765,          0.00071923,           0.0021552,          8.7469e-05,          3.4988e-05,             0.11934,            0.042821,            0.079129,               6e-05,               6e-05,             0.09946
                   1,             0.11557,            0.056649,            0.074895,           0.0018679,           0.0021552,          0.00014906,          4.8254e-05,             0.11476,            0.045154,            0.076891,          0.00012997,          0.00012997,             0.09883
                   2,             0.11251,            0.061467,            0.072737,           0.0040571,           0.0021552,          0.00028825,          7.9373e-05,              0.1102,            0.047795,            0.074253,          0.00019982,          0.00019982,              0.0982
                   3,             0.10997,            0.061155,            0.070034,           0.0041376,           0.0043103,          0.00088976,          0.00021416,             0.10609,            0.050265,            0.071229,          0.00026946,          0.00026946,            0.097569
                   4,             0.10741,            0.065493,            0.067004,           0.0033096,             0.11422,           0.0020914,          0.00043769,             0.10285,            0.052205,             0.06815,          0.00033879,          0.00033879,            0.096939
                   5,             0.10498,            0.063477,            0.064352,           0.0056974,             0.14871,           0.0041084,          0.00084444,             0.10034,            0.053635,            0.064786,          0.00040773,          0.00040773,            0.096308
                   6,             0.10338,            0.066683,            0.060327,            0.009402,            0.090517,           0.0082655,           0.0015647,            0.098651,            0.054421,            0.061285,          0.00047617,          0.00047617,            0.095676
                   7,             0.10139,            0.069782,            0.057856,            0.026144,             0.16278,            0.019228,            0.003677,            0.096738,            0.055277,            0.057416,          0.00054404,          0.00054404,            0.095044
                   8,            0.099185,            0.072782,            0.053062,            0.098509,              0.1283,            0.046893,           0.0086182,            0.095218,            0.055521,            0.053101,          0.00061123,          0.00061123,            0.094411
                   9,            0.096864,            0.068434,            0.049861,             0.34237,             0.20589,            0.092477,            0.017664,            0.093716,            0.055301,            0.048319,          0.00067767,          0.00067767,            0.093778
                  10,             0.09604,            0.070235,            0.046228,             0.64578,             0.19779,             0.12602,            0.023739,            0.092845,            0.054455,            0.043092,          0.00074326,          0.00074326,            0.093143
                  11,            0.094238,            0.065226,            0.041944,             0.69298,              0.2032,             0.15862,            0.032717,            0.091131,            0.054024,            0.038005,          0.00080792,          0.00080792,            0.092508
                  12,            0.092003,            0.068336,            0.037653,             0.72317,             0.23922,             0.18938,            0.039552,            0.090281,            0.053237,            0.033203,          0.00087156,          0.00087156,            0.091872
                  13,            0.090066,            0.067494,            0.033574,             0.66684,             0.29957,             0.16608,            0.029733,            0.090249,            0.053406,            0.029267,           0.0009341,           0.0009341,            0.091234
                  14,            0.089817,            0.065224,             0.03116,              0.6889,             0.30172,             0.18607,            0.043363,            0.087712,             0.05481,            0.026495,          0.00099546,          0.00099546,            0.090595
                  15,            0.086922,             0.06365,            0.028316,             0.67855,             0.28017,             0.17297,            0.035337,            0.087227,            0.054633,            0.024003,           0.0010556,           0.0010556,            0.089956
                  16,            0.085626,            0.066498,            0.025666,             0.71605,             0.25216,              0.1904,            0.041548,            0.085787,            0.054727,            0.022135,           0.0011143,           0.0011143,            0.089314
                  17,            0.083998,            0.068325,            0.024403,             0.70383,             0.35345,             0.23234,            0.053643,             0.08446,             0.05572,            0.020615,           0.0011717,           0.0011717,            0.088672
